id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,host_is_superhost
7887966,Astoria,40.75834,-73.91284,Entire home,Entire home/apt,4,2.0,2.0,105.1,10,14,14,72,82,4.83,0.64,180,18918.0,Yes
7891403,Clinton Hill,40.69276,-73.9695,Entire rental unit,Entire home/apt,6,3.0,3.0,244.24,0,0,0,216,78,4.85,0.59,0,0.0,No
7893820,Williamsburg,40.71371,-73.96357,Entire rental unit,Entire home/apt,2,2.0,1.0,216.91500000000002,0,0,0,0,0,,0.0,0,0.0,No
7894007,Arverne,40.58957,-73.79093,Entire guesthouse,Entire home/apt,3,2.0,2.0,171.19,0,7,37,126,93,4.94,0.71,60,10271.0,No
7323905,Stuyvesant Town,40.73062,-73.97991,Entire rental unit,Entire home/apt,2,1.0,1.0,216.91500000000002,0,0,0,0,27,4.93,0.27,0,0.0,No
7327782,Crown Heights,40.66651,-73.92779,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,79,4.52,0.75,0,0.0,No
7328775,Fort Greene,40.68801,-73.97383,Entire rental unit,Entire home/apt,2,1.0,1.0,216.91500000000002,0,0,0,0,9,4.56,0.07,0,0.0,No
7330488,Upper West Side,40.80235,-73.97082,Private room in rental unit,Private room,1,1.0,1.0,101.0,0,0,0,0,33,4.88,0.25,0,0.0,No
7331070,Bayside,40.76603,-73.77133,Private room in home,Private room,2,4.0,4.0,327.52,20,50,74,348,204,4.65,1.56,255,83518.0,Yes
7897229,Upper West Side,40.77545,-73.97884,Private room in rental unit,Private room,1,2.0,1.0,101.0,0,0,0,0,8,4.75,0.06,0,0.0,No
7900722,Williamsburg,40.71121,-73.94167,Entire rental unit,Entire home/apt,2,1.0,1.0,216.91500000000002,0,0,0,0,11,5.0,0.08,0,0.0,No
7901715,Harlem,40.80302,-73.95648,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,2,4.5,0.02,0,0.0,No
7911249,Lower East Side,40.72076,-73.98602,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,3,4.67,0.02,0,0.0,No
7914401,East Village,40.72708,-73.988,Private room in rental unit,Private room,1,1.0,1.0,101.0,0,0,0,0,9,4.56,0.07,0,0.0,No
7915525,Clinton Hill,40.68617,-73.96023,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,14,4.93,0.11,0,0.0,No
7915542,Jamaica,40.70563,-73.80523,Entire rental unit,Entire home/apt,1,1.0,1.0,139.95,5,30,60,335,17,4.88,0.29,120,16794.0,Yes
7916103,Prospect-Lefferts Gardens,40.65586,-73.95725,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,3,4.0,0.02,0,0.0,No
7919303,Bushwick,40.70028,-73.92517,Private room in rental unit,Private room,1,1.0,1.0,101.0,0,0,0,0,1,5.0,0.01,0,0.0,No
7919372,Crown Heights,40.67500305175781,-73.95166778564453,Private room in home,Private room,3,1.0,2.0,258.0,14,35,58,329,126,4.75,1.06,255,65790.0,Yes
8162214,Lower East Side,40.71296,-73.98514,Private room in rental unit,Private room,1,1.0,1.0,101.0,0,0,0,0,7,4.29,0.05,0,0.0,No
8164877,Williamsburg,40.71775,-73.96025,Private room in rental unit,Private room,1,1.0,1.0,101.0,0,0,0,0,17,4.76,0.13,0,0.0,No
